# x(m)  y(m)  z(m)  nx  ny  nz
   2.08362301E+00   7.56369238E-17   5.89629923E-18   1.00000000E+00   7.56369238E-14  -2.13235707E-17
   2.08361542E+00   7.63931911E-07   1.54183885E-03   9.99951210E-01   7.63931911E-04   9.84857531E-03
   2.08359264E+00   1.52725968E-06   3.08340087E-03   9.99804743E-01   1.52725968E-03   1.97013451E-02
   2.08355467E+00   2.28936923E-06   4.62441319E-03   9.99560364E-01   2.28936923E-03   2.95607319E-02
   2.08350151E+00   3.04964923E-06   6.16460296E-03   9.99217715E-01   3.04964923E-03   3.94291536E-02
   2.08343315E+00   3.80749096E-06   7.70369730E-03   9.98776313E-01   3.80749096E-03   4.93090222E-02
   2.08334960E+00   4.56228800E-06   9.24142335E-03   9.98235554E-01   4.56228800E-03   5.92027414E-02
   2.08325084E+00   5.31343611E-06   1.07775082E-02   9.97594708E-01   5.31343611E-03   6.91127050E-02
   2.08313687E+00   6.06033295E-06   1.23116790E-02   9.96852921E-01   6.06033295E-03   7.90412953E-02
   2.08300770E+00   6.80237795E-06   1.38436628E-02   9.96009212E-01   6.80237795E-03   8.89908804E-02
   2.08286332E+00   7.53897209E-06   1.53731867E-02   9.95062474E-01   7.53897209E-03   9.89638124E-02
   2.08270371E+00   8.26970548E-06   1.68999817E-02   9.94010825E-01   8.26970548E-03   1.08968309E-01
   2.08252887E+00   8.99380192E-06   1.84237754E-02   9.92853676E-01   8.99380192E-03   1.18998697E-01
   2.08233881E+00   9.71081277E-06   1.99443106E-02   9.91589635E-01   9.71081277E-03   1.29056951E-01
   2.08213351E+00   1.04202956E-05   2.14613300E-02   9.90217188E-01   1.04202956E-02   1.39145022E-01
   2.08191297E+00   1.11218138E-05   2.29745761E-02   9.88734704E-01   1.11218138E-02   1.49264830E-01
   2.08167719E+00   1.18149370E-05   2.44837916E-02   9.87140428E-01   1.18149370E-02   1.59418260E-01
   2.08142617E+00   1.24992401E-05   2.59887190E-02   9.85432484E-01   1.24992401E-02   1.69607162E-01
   2.08115990E+00   1.31743041E-05   2.74891009E-02   9.83608869E-01   1.31743041E-02   1.79833341E-01
   2.08087838E+00   1.38397151E-05   2.89846796E-02   9.81667458E-01   1.38397151E-02   1.90098562E-01
   2.08058161E+00   1.44950651E-05   3.04751977E-02   9.79606000E-01   1.44950651E-02   2.00404537E-01
   2.08026958E+00   1.51399694E-05   3.19603995E-02   9.77422215E-01   1.51399694E-02   2.10752449E-01
   2.07994230E+00   1.57737451E-05   3.34400320E-02   9.75117019E-01   1.57737451E-02   2.21128893E-01
   2.07959978E+00   1.63962194E-05   3.49138631E-02   9.72688390E-01   1.63962194E-02   2.31535008E-01
   2.07924205E+00   1.70072265E-05   3.63816604E-02   9.70134199E-01   1.70072265E-02   2.41971877E-01
   2.07886911E+00   1.76066074E-05   3.78431916E-02   9.67452215E-01   1.76066074E-02   2.52440527E-01
   2.07848098E+00   1.81942095E-05   3.92982241E-02   9.64640098E-01   1.81942095E-02   2.62941918E-01
   2.07807768E+00   1.87698868E-05   4.07465254E-02   9.61695406E-01   1.87698868E-02   2.73476942E-01
   2.07765922E+00   1.93334993E-05   4.21878630E-02   9.58615591E-01   1.93334993E-02   2.84046414E-01
   2.07722561E+00   1.98849137E-05   4.36220043E-02   9.55397999E-01   1.98849137E-02   2.94651072E-01
   2.07677687E+00   2.04240026E-05   4.50487164E-02   9.52039873E-01   2.04240026E-02   3.05291565E-01
